,result,kills,deaths,dragons,elders,heralds,barons,goldat15,golddiffat15
198,1,10,6,4.0,0.0,2.0,1.0,26446.0,2410.0
199,0,6,10,1.0,0.0,0.0,0.0,24036.0,-2410.0
200,0,7,22,2.0,0.0,1.0,0.0,24767.0,149.0
201,1,22,7,3.0,0.0,1.0,1.0,24618.0,-149.0
202,1,19,9,4.0,0.0,2.0,2.0,25976.0,1639.0
203,0,9,19,3.0,0.0,0.0,0.0,24337.0,-1639.0
204,1,23,12,4.0,0.0,0.0,1.0,23697.0,-1746.0
205,0,12,23,3.0,1.0,2.0,1.0,25443.0,1746.0
206,1,13,8,4.0,0.0,0.0,1.0,25072.0,774.0
207,0,8,13,1.0,0.0,1.0,0.0,24298.0,-774.0
208,1,15,6,3.0,0.0,2.0,1.0,25734.0,1562.0
209,0,5,16,1.0,0.0,0.0,0.0,24172.0,-1562.0
210,0,6,18,2.0,0.0,2.0,0.0,24080.0,-2137.0
211,1,18,6,2.0,0.0,0.0,1.0,26217.0,2137.0
212,0,11,17,1.0,0.0,0.0,0.0,26345.0,1184.0
213,1,17,11,3.0,0.0,2.0,1.0,25161.0,-1184.0
214,0,5,23,0.0,0.0,0.0,0.0,24175.0,-4446.0
215,1,23,5,4.0,0.0,2.0,1.0,28621.0,4446.0
216,0,5,15,2.0,0.0,2.0,0.0,26646.0,2248.0
217,1,15,5,3.0,0.0,0.0,2.0,24398.0,-2248.0
218,0,18,28,3.0,0.0,2.0,2.0,25476.0,38.0
219,1,28,18,3.0,0.0,0.0,1.0,25438.0,-38.0
220,1,10,8,3.0,,,2.0,,
221,0,8,10,2.0,,,0.0,,
222,1,16,8,4.0,0.0,0.0,1.0,24873.0,299.0
223,0,8,16,2.0,0.0,2.0,1.0,24574.0,-299.0
224,1,18,14,3.0,0.0,2.0,2.0,23882.0,-452.0
225,0,14,18,1.0,0.0,0.0,0.0,24334.0,452.0
226,1,22,16,3.0,0.0,1.0,1.0,25771.0,283.0
227,0,15,22,2.0,0.0,1.0,0.0,25488.0,-283.0
228,0,14,22,1.0,0.0,0.0,0.0,24536.0,-1845.0
229,0,5,19,0.0,0.0,1.0,0.0,23057.0,-2853.0
230,1,19,5,3.0,0.0,1.0,1.0,25910.0,2853.0
231,0,13,22,2.0,,,1.0,,
232,1,16,3,1.0,0.0,1.0,2.0,25005.0,1348.0
